,created_at,res,full_text,screen_name,followers_count,friends_count,retweet_count,favorite_count,Hashtag
1291,Wed Mar 31 06:38:58 +0000 2021,0,"Message me now and lets activate money together through bitcoin 😊
💎💎💎💎💎💎
@LIND_1234 
@LIND_1234 
💎💎💎💎💎💎
#Crypto #cryptoart #instagramdown #BinanceSmartChain #BTC #BritainsTigerKings #StopAAPIHate https://t.co/qXLiV6fhQg",LIND_1234,447,577,1,1,instagramdown  .
1025,Tue Mar 23 16:58:42 +0000 2021,1,"RT @DelhiTimesTweet: #DTPoll: Which of these films had the best on-screen portrayals of #BhagatSingh, #Sukhdev and #Rajguru?

#ShaheedDiwas…",BalvinderBaazi,491,762,42,0,MartyrsDay
8,Sun Mar 21 11:42:56 +0000 2021,0,"RT @LMKMovieManiac: #VaathiComing100MViews

Most viral &amp; popular song in recent times - 100 mil views crossed by the song video too (lyric…",MERSALKARTHIC18,658,1172,1515,0,VaathiComing100MViews.
1,Tue Mar 23 15:42:49 +0000 2021,1,"RT @Now_InReddy: Remembering Shaheed Bhagat Singh, Shivaram Rajguru and Sukhdev Thapar, Who Were Hanged This Day By Britishers In 1931. Tri…",KRISHANMOHANKR6,487,1265,13,0,MartyrsDay
2212,Sun Mar 21 11:36:33 +0000 2021,1,RT @Monika_singh143: it is very dangerous.  We should oppose it.  Parents should raise their voice against addictive video games.  #Savethe…,Aditya86377049,10,9,4,0,SavetheYouthBanFauG.
1906,Tue Mar 23 17:06:24 +0000 2021,1,"RT @ChandanSpeaking: We bow down to the martyrdom of our great National heros. 
#23March
#ShaheedDiwas 
#shaheedbhagatsingh
#Sukhdev
#rajgu…",AMARKUM56561354,5,2,39,0,MartyrsDay
1091,Thu Apr 01 17:25:16 +0000 2021,1,RT @wwemarveldcfan: They may be fighting but they have one thing in common just like all of us and that’s loving going to the movies #Godzi…,IsaacLinsk,120,267,1108,0,godzillavskong  .
762,Fri Mar 26 04:48:32 +0000 2021,1,"RT @dhruv_rathee: Rajya Sabha passes the #GNCTDBill 

One single person, who did not stand for any elections, is now technically the govern…",kingdavid2615,17,438,6861,0,GNCTDBill
2490,Thu Mar 25 17:34:35 +0000 2021,1,RT @NandyAsmita: It didn't stop with Kashmir. It won't stop with Delhi. #GNCTDBill passed!,alpualfred,282,167,793,0,GNCTDBill
433,Mon Mar 22 04:07:23 +0000 2021,1,"RT @Shivani44159466: #WorldWaterDay
Saint Dr @Gurmeetramrahim Singh Ji Insan gives various tips to conserve water in homes as well as in fa…",OfficalSinhmar,93,91,5,0,WorldWaterDay.
1843,Sun Mar 21 11:38:22 +0000 2021,1,"RT @themayhew: Roses are red 🌹
Violets are blue 🌼
We love cats 🐱
And dogs too. 🐶

P.S. We are not poets, and we did know it. #WorldPoetryDa…",MarkBroadhurst3,56,66,5,0,WorldPoetryDay
458,Tue Mar 23 16:53:51 +0000 2021,1,"RT @realhimanshi: Tribute to the fearless heroes 🙏🏻🙏🏻
#BhagatSingh #MartyrsDay #Sukhdev #InquilabZindabad #23March #Sukhdev #ShaheediDiwas…",arif_zayn,86,491,274,0,MartyrsDay
785,Tue Mar 23 17:07:32 +0000 2021,1,"RT @westerncomd_IA: On #ShaheedDiwas, we pay rich tributes to the brave sons of India, #BhagatSingh, #Rajguru &amp; #Sukhdev at National Martyr…",KSBSectt,7886,95,15,0,MartyrsDay
628,Sun Mar 21 12:08:27 +0000 2021,1,"RT @UNESCO: 21 March is #WorldPoetryDay! Let's celebrate the power of #poetry to shake us from everyday life!

📝 https://t.co/ygsuIzTfzC #S…",Mr_PHuff,1013,2078,456,0,WorldPoetryDay
553,Sun Mar 21 12:05:26 +0000 2021,1,RT @AuschwitzMuseum: #WorldPoetryDay | Ilse Weber (b. 1903) worked as a night nurse in Theresienstadt ghetto's infirmary and had the courag…,FelixTandem1,704,85,40,0,WorldPoetryDay
175,Sun Mar 21 04:58:03 +0000 2021,1,"RT @Raniwara8677: #रीट_परीक्षा_आगे_करो
Reet exam July kro
@ashokgehlot51
@GovindDotasra
@UtkarshClasses
@Raniwara8677
@TheUpenYadav @1stInd…",sonakshisahu6,14,60,70,0,modirozgardo
186,Sun Mar 21 11:39:12 +0000 2021,1,"RT @RTQueen66: Life is a poetry,
U just need to feel the words.
Life is so beautiful,
U just need to feel its beauty
Life is full of lives,…",GauriSh00526155,813,1043,32,0,WorldPoetryDay
391,Sat Mar 20 16:24:02 +0000 2021,1,"RT @Ranjanthakur112: #modi_rojgar_do
Meanwhile SSC to TCS after big normalization blunder..

#cgl19marks 
#modi_rojgar_do #cgl19marks
@PMOI…",Smileythakur12,152,70,2295,0,modirozgardo
862,Sat Mar 20 03:47:02 +0000 2021,1,"#modi_rojgar_do 
#modi_jawab_do 
@narendramodi @narendramodi_in @PMOIndia @DoPTGoI @DrJitendraSingh @BJP4India… https://t.co/g4kSgUhEOu",dikshant_narula,37,60,1,2,modirozgardo
1493,Tue Mar 23 18:46:22 +0000 2021,1,"RT @Naazishnaaz: #Martyrsday
When picture speak no caption nedeed https://t.co/jUMFhzbrKy",SohrabMirza4,230,100,0,0,MartyrsDay
1679,Tue Mar 23 17:19:52 +0000 2021,1,RT @CartoonistSan: Old one. #MartyrsDay https://t.co/YB1GwabomT,abvphunter,340,937,317,317,MartyrsDay
2182,Thu Mar 25 18:19:02 +0000 2021,1,"RT @dhruv_rathee: Rajya Sabha passes the #GNCTDBill 

One single person, who did not stand for any elections, is now technically the govern…",AmitBhumarker,0,31,6862,0,GNCTDBill
237,Sun Mar 21 02:45:20 +0000 2021,1,"RT @SanojYa14329742: #modi_job_do
#modi_rojgar_do 
STUDENT DEMANDS
●Timely Exam.
●Increase Vacancies.
●Reform in EXAM process.
●Timely Resu…",Anupsha48743745,21,49,2595,0,modirozgardo
379,Fri Mar 26 07:20:29 +0000 2021,1,"RT @dhruv_rathee: Rajya Sabha passes the #GNCTDBill 

One single person, who did not stand for any elections, is now technically the govern…",AakashR74318316,16,93,6861,0,GNCTDBill
484,Fri Mar 26 06:24:00 +0000 2021,1,"RT @ReallySwara: I didn’t vote for the LG Anil Baijal !!!! 
😠😠😠😠😠 #GNCTDBill",1Sahilkatiyar,30,763,4882,0,GNCTDBill
2717,Thu Mar 25 17:03:09 +0000 2021,0,"@BDUTT @AtishiAAP @themojostory Time to end the charade of a Union Territory with a legislature, particularly in our National capital. #GNCTDBill",cbpcb,171,60,0,0,GNCTDBill
1649,Sun Mar 21 12:07:40 +0000 2021,1,"To celebrate #WorldPoetryDay we've dug out this awesome poem created by our Consultant @KateChambers_CE for @bbcthesocial 

Kate's thought-provoking spoken word piece explores #recycling and the state of the world we've created.

https://t.co/iJzhyCFBm2",resourcefutures,2995,1553,0,0,WorldPoetryDay
221,Sun Mar 21 03:20:13 +0000 2021,1,"RT @banyalakamal: @INCIndia #modi_rojgar_do 
#no_job_no_vote 
#stop_privatisation https://t.co/YpLBaJe0Mb",banyalakamal,3,12,2,0,modirozgardo
323,Sun Mar 21 11:57:30 +0000 2021,1,Happy #worldpoetryday ! I love everything about this Séamus Heaney poem. https://t.co/FKcasLj41L,KatieRubyRyan,20,125,0,0,WorldPoetryDay
1800,Thu Mar 25 19:49:31 +0000 2021,1,"RT @ElonMast_: Condition of #ChaprasiKejriwal after Rajya Sabha passes #GNCTDBill 😂😂😂
*See full image* https://t.co/EoL7u2UqRr",satya909077,882,1593,95,0,GNCTDBill
483,Sun Mar 21 16:11:02 +0000 2021,1,"RT @burningstar141: #FalconAndTheWinterSoldier 
Bucky’s Therapist: https://t.co/bimfEQjsRP",slimdepp,1913,244,290,290,FalconAndTheWinterSoldier.
1396,Sun Mar 21 12:00:50 +0000 2021,1,"Sam is obsessed with delivery,
Without pizza, he’s quite a misery.
From the kitchen came sniffing,
The mozzarella went missing.
But he claims it’s all quite a mystery.
#WorldPoetryDay",pizzahutdeliver,35998,906,0,0,WorldPoetryDay
759,Tue Mar 23 18:20:52 +0000 2021,1,RT @CartoonistSan: Old one. #MartyrsDay https://t.co/YB1GwabomT,ASHUTOS02199210,0,44,0,339,MartyrsDay
1369,Tue Mar 23 17:51:05 +0000 2021,1,"On 23 March I remember The brave martyr Bhagat Singh, Rajguru and Sukhdev. The three freedom fighters will always be remember for their immence valiancy, indomitable spirit and selfless sacrifice for the country. #MartyrsDay",ianteryamiM,18,78,0,0,MartyrsDay
1726,Thu Mar 25 20:23:29 +0000 2021,0,"This woman stays in Maharashtra, 
And wants to vote for a governor 
Who is appointed not elected.... 

Waahh kya GK hai 
#SwaraBhasker 
#GNCTDBill https://t.co/YLEX7Ju451",huh_nevermind,204,313,0,3,GNCTDBill
1564,Sun Mar 21 11:58:50 +0000 2021,1,RT @poetrycinema: Happy #WorldPoetryDay! Very excited to premiere this short underwater poetry film during the NPC awards event this Thursd…,BurndtOutWard,1316,4736,5,0,WorldPoetryDay
1666,Thu Mar 25 20:50:22 +0000 2021,1,"RT @ReallySwara: I didn’t vote for the LG Anil Baijal !!!! 
😠😠😠😠😠 #GNCTDBill",MrbhatiaHappy,375,1575,4882,0,GNCTDBill
987,Fri Mar 26 03:39:20 +0000 2021,1,"RT @ReallySwara: I didn’t vote for the LG Anil Baijal !!!! 
😠😠😠😠😠 #GNCTDBill",infotopuneet,26,123,4882,0,GNCTDBill
198,Sun Mar 21 04:14:13 +0000 2021,1,"RT @RohitGameti3: #मोदी_रोजगार_दो #मोदी_रोजगार_दो
#modi_rojgar_do Students demand 
Timely exam,joining and Fair exam 
#modi_job_do 
#modi_r…",VarshaP30014508,5,20,18,0,modirozgardo
1037,Tue Mar 23 18:16:04 +0000 2021,1,"RT @ICT_MARJ: SOME DEBTS CANNOT BE REPAID!

23 MARCH 1931

SHAHEED DIWAS

SALUTE TO THE MARTYRS WHO GAVE UP THEIR LIVES FOR THE LOVE OF THE…",AmanPatni11,29,57,2,0,MartyrsDay
323,Fri Mar 26 08:03:59 +0000 2021,1,"RT @dhruv_rathee: Rajya Sabha passes the #GNCTDBill 

One single person, who did not stand for any elections, is now technically the govern…",being_adi_,20,45,6861,0,GNCTDBill
1163,Fri Mar 26 02:43:38 +0000 2021,1,"RT @dhruv_rathee: Rajya Sabha passes the #GNCTDBill 

One single person, who did not stand for any elections, is now technically the govern…",VipulTyagi8928,25,66,6861,0,GNCTDBill
744,Fri Mar 26 04:52:55 +0000 2021,1,"RT @ReallySwara: I didn’t vote for the LG Anil Baijal !!!! 
😠😠😠😠😠 #GNCTDBill",anuragalpha,121,840,4882,0,GNCTDBill
2444,Thu Mar 25 17:41:29 +0000 2021,1,"RT @imMAK02: Do NDA have full majority in Rajyasabha?? 

If not then how did they manage to pass each and every important bill in RS?? 

#G…",ParweenChahat,98,338,344,0,GNCTDBill
2745,Thu Mar 25 17:00:15 +0000 2021,1,"RT @derekobrienmp: “We 10 MPs flew from Bengal for this discussion, although there's an election coming up. 

@MamataOfficial Didi told us,…",sandipshettyyer,929,750,856,0,GNCTDBill
2569,Thu Mar 25 17:23:28 +0000 2021,1,"RT @TheRoyalRaajput: Scene from Rajya Sabha after passing #GNCTDBill today 😂

 #chaprasiKejriwal https://t.co/4VApwqQePI",ved__prakash___,847,887,164,0,GNCTDBill
208,Sun Mar 21 03:37:49 +0000 2021,1,"RT @Raniwara8677: #रीट_परीक्षा_आगे_करो
Reet exam July kro
@ashokgehlot51
@GovindDotasra
@UtkarshClasses
@Raniwara8677
@TheUpenYadav @1stInd…",pintumeena143,1402,4917,70,0,modirozgardo
284,Sun Mar 21 02:11:21 +0000 2021,1,"RT @Kunalka69584066: #modi_rojgar_do
#modi_job_do
We want justice
We want fast #recruitment process https://t.co/VVVgZlkAWY",PawanKu08780265,1,10,12,0,modirozgardo
444,Sat Mar 20 14:13:38 +0000 2021,1,"RT @Rishikumar00: OUR GOVERNMENT DESTROY YOUTHS LIFE
#बीजेपी_हिसाब_दो
#modi_rojgar_दो 
#modi_rojgar_do https://t.co/hpxfMzBGX7",tejinderkaurm,298,148,11,0,modirozgardo
365,Sat Mar 20 17:31:05 +0000 2021,1,"RT @KhanSir_: Country of youth and youth is troubled
 How silent is great, how silent is king
 @narendramodi ji
 #modi_jawab_do
 #modi_rojg…",Harshde95789326,0,5,200,0,modirozgardo
877,Fri Mar 26 04:16:56 +0000 2021,1,"RT @ethicalsid: 𝙈𝙐𝙎𝙏 𝙒𝘼𝙏𝘾𝙃 &amp; 𝙎𝙃𝘼𝙍𝙀🔥

.@manojkjhadu have a message for all the leaders/parties who were silent / chose to walk out from the…",umeshpandit25,34,291,622,0,GNCTDBill
1745,Thu Mar 25 20:15:42 +0000 2021,1,"RT @ReallySwara: I didn’t vote for the LG Anil Baijal !!!! 
😠😠😠😠😠 #GNCTDBill",mandy08911846,83,119,4882,0,GNCTDBill
613,Tue Mar 23 16:27:09 +0000 2021,1,"RT @SandhuHarshit: One of my favourite excerpts from @irfhabib 's book 'Inquilab: Bhagat Singh on Religion and Revolution'
🙏🙏 #MartyrsDay #…",PARNILDH4,324,667,14,0,MartyrsDay
659,Sat Mar 20 08:40:13 +0000 2021,1,"RT @NK73584552: Job nahi to vote nahi
#Release_Uttarakhand_JE_AE_Vacancy 
#TSR_Govt_Job_Nahi_to_Vote_Nahi 
#modi_rojgar_do 
@harishrawatcmu…",parvatvaani,2,4,1,0,modirozgardo
644,Tue Mar 23 18:47:47 +0000 2021,1,"RT @maninder811: Merciless criticism and independent thinking are the two necessary traits of revolutionary thinking.”
#bhagat_singh #23Mar…",SouravBanger_03,71,108,1,0,MartyrsDay
403,Fri Mar 26 07:05:15 +0000 2021,1,"RT @ReallySwara: I didn’t vote for the LG Anil Baijal !!!! 
😠😠😠😠😠 #GNCTDBill",Rajinderkumarbg,225,310,4882,0,GNCTDBill
691,Tue Mar 23 18:11:53 +0000 2021,1,"RT @rad_R_: Sidharth &amp; his fav freedom fighter भगत सिंह trending together ❤️

Koi comparison hi nahi I knw..Bt it feels gud to see Sidharth…",Arpita85259242,138,158,70,0,MartyrsDay
2426,Thu Mar 25 17:43:45 +0000 2021,1,"RT @ReallySwara: I didn’t vote for the LG Anil Baijal !!!! 
😠😠😠😠😠 #GNCTDBill",mirza_faisal89,164,240,4885,0,GNCTDBill
457,Tue Mar 23 16:54:45 +0000 2021,1,RT @coolboyVedansh: Salute to the martyrs 🙏who gave up their lives for the love of their motherland such sacrifices will continue to inspir…,geeta_dhiman7,1468,111,15,0,MartyrsDay
1273,Fri Mar 26 02:10:50 +0000 2021,1,"RT @ReallySwara: I didn’t vote for the LG Anil Baijal !!!! 
😠😠😠😠😠 #GNCTDBill",AnkitAh75841408,1,15,4882,0,GNCTDBill
648,Fri Mar 26 05:23:20 +0000 2021,1,@DaaruBaazMehta LG will say this will cause traffic on roads. Hence it is null and void. #GNCTDBill,SrijanSabharwal,81,42,0,5,GNCTDBill
534,Sun Mar 21 11:42:23 +0000 2021,1,"RT @BihariLonda1: #WorldPoetryDay

Bachpan❤👶🏻 https://t.co/lq4tYVy60A",Naina37195685,278,370,9,9,WorldPoetryDay
177,Fri Mar 26 10:06:13 +0000 2021,1,"RT @AamAadmiParty: MUST WATCH 🔥

AAP MP @SanjayAzadSln roars inside the Rajya Sabha against Modi Govt's Unconstitutional #GNCTDBill https:/…",BeingQuadir,240,468,1414,0,GNCTDBill
156,Sun Mar 21 11:38:38 +0000 2021,0,This year we’re celebrating #WorldPoetryDay by launching our Three Trees Portfolio Award - your chance to be part of our story https://t.co/wLYwM5Ws84 #poetry #publishing https://t.co/CtvH6ZkNia,MaytreePoetry,2345,2962,0,0,WorldPoetryDay
141,Sun Mar 21 06:33:39 +0000 2021,1,"RT @Raniwara8677: #रीट_परीक्षा_आगे_करो
Reet exam July kro
@ashokgehlot51
@GovindDotasra
@UtkarshClasses
@Raniwara8677
@TheUpenYadav @1stInd…",Pawan45340002,3,0,77,0,modirozgardo
1159,Sun Mar 21 11:39:58 +0000 2021,1,"RT @Tate: This is a haiku
Let's share haikus about art!
Art, meet poetry

✏️

Happy #WorldPoetryDay 💛
Aldo Tambellini, Painted Poem 1965
ht…",LilyRoseWorth,658,2109,13,0,WorldPoetryDay
886,Fri Mar 26 04:15:03 +0000 2021,1,"RT @INCMumbai: The double standards in these two tweets escape no one!

Isse kehte hain AAP beeti?

#GNCTDBill #नहीं_भूलेंगे https://t.co/A…",AJAYVIR09,12,27,175,0,GNCTDBill
910,Fri Mar 26 04:08:20 +0000 2021,1,"RT @ReallySwara: I didn’t vote for the LG Anil Baijal !!!! 
😠😠😠😠😠 #GNCTDBill",zou15,339,549,4882,0,GNCTDBill
2407,Thu Mar 25 17:46:02 +0000 2021,1,"RT @ReallySwara: I didn’t vote for the LG Anil Baijal !!!! 
😠😠😠😠😠 #GNCTDBill",RajanSingh9999,5,127,4885,0,GNCTDBill
640,Tue Mar 23 18:51:46 +0000 2021,1,"RT @JugrajsinghBJP: Tribute to the great Indian freedom fighters &amp; revolutionaries #BhagatSingh , #Sukhdev and #Rajguru on Shaheed Diwas.…",ibhargav_bjp,677,1333,4,0,MartyrsDay
606,Tue Mar 23 17:38:23 +0000 2021,1,"RT @KIITUniversity: On the occasion of #SaheedDiwas (#MartyrsDay), #KIIT remembers the sacrifices of the 3 gallant freedom fighters - Bhag…",Raghuna99244329,3,26,89,0,MartyrsDay
1119,Fri Mar 26 02:58:20 +0000 2021,1,"RT @dhruv_rathee: Rajya Sabha passes the #GNCTDBill 

One single person, who did not stand for any elections, is now technically the govern…",Its_tarique,268,79,6861,0,GNCTDBill
2423,Thu Mar 25 17:44:08 +0000 2021,1,"RT @derekobrienmp: “We 10 MPs flew from Bengal for this discussion, although there's an election coming up. 

@MamataOfficial Didi told us,…",deepans31983914,8,285,856,0,GNCTDBill
1768,Thu Mar 25 20:01:50 +0000 2021,1,"RT @ReallySwara: I didn’t vote for the LG Anil Baijal !!!! 
😠😠😠😠😠 #GNCTDBill",aniruuddha,234,377,4882,0,GNCTDBill
571,Sun Mar 21 11:42:14 +0000 2021,1,"RT @TanviSolanki_: Listen what he says, to make money buy weapon etc. Why we allow kids to play harmful games ? India has seen this time &amp;…",RTQueen66,4500,1436,11,0,SavetheYouthBanFauG.
1345,Fri Mar 26 01:41:56 +0000 2021,1,"RT @dhruv_rathee: Rajya Sabha passes the #GNCTDBill 

One single person, who did not stand for any elections, is now technically the govern…",gopa_iyer,8,95,6861,0,GNCTDBill
2172,Thu Mar 25 18:20:10 +0000 2021,1,"RT @ndtv: #LeftRightCentre | Atishi, AAP MLA, on the BJP-led centre passing the #GNCTDBill in the parliament, which proposes to give more p…",AnishJacob,207,289,15,0,GNCTDBill
1857,Sun Mar 21 10:59:16 +0000 2021,1,"RT @Osuofia_jetli: MONEY: The best power of all

#SnydersCut #ZackSnydersJusticeLeague https://t.co/dcsJeGtvrh",REELDAVIES,3962,2874,4,0,snyderscut.
1694,Sun Mar 21 12:08:44 +0000 2021,1,RT @AuschwitzMuseum: #WorldPoetryDay | Ilse Weber (b. 1903) worked as a night nurse in Theresienstadt ghetto's infirmary and had the courag…,Ilsibelle,464,1083,60,0,WorldPoetryDay
157,Thu Apr 01 17:30:53 +0000 2021,1,"RT @ErikDavis: BOX OFFICE: #GodzillavsKong snagged $9.6M on opening day in the US, marking the biggest opening day of any film during the p…",Anthony6595574,440,1158,85,0,godzillavskong  .
167,Sun Mar 21 05:31:37 +0000 2021,1,"RT @Nirajmeena97: let's break this worldwide record together by tweeting more than 41 million tweets within 24 hours.

#modi_rojgar_do
#mod…",AKHILES18615059,3,6,2391,0,modirozgardo
2293,Thu Mar 25 18:01:56 +0000 2021,1,"RT @ReallySwara: I didn’t vote for the LG Anil Baijal !!!! 
😠😠😠😠😠 #GNCTDBill",sayyadalim2,164,317,4885,0,GNCTDBill
549,Sat Mar 20 11:36:53 +0000 2021,1,"#modi_rojgar_do
#modi_job_do
#modi_jawab_do
#speakup
#cgl19marks 
#SSC_Besharam 
#GodiMedia 
@narendramodi… https://t.co/QkScID9l4g",dikshant_narula,37,60,0,0,modirozgardo
125,Tue Mar 23 15:52:22 +0000 2021,1,"RT @saahilmenghani: Numbers shoot up at #FarmersProtest sites as young farmers arrive from villages on #MartyrsDay, #शहीद_दिवस.
SINGHU…",RolfGandhi_,9159,225,573,0,MartyrsDay
196,Sun Mar 21 11:38:11 +0000 2021,1,"RT @UN_Women: The span of my hips, 
The stride of my step, 
The curl of my lips. 
I'm a woman
Phenomenally.

- @DrMayaAngelou, whose words…",Blessedbhawna,390,703,142,0,WorldPoetryDay
85,Sun Mar 21 09:07:35 +0000 2021,1,"RT @dhruv_rathee: Trending at no.1 #modi_rojgar_do

Listen to the voice of students!",Bhushan99093387,966,454,13596,0,modirozgardo
574,Sun Mar 21 12:00:04 +0000 2021,1,"Just a quick message,
Here to say,
At long last it's #WorldPoetryDay !
Hip Hip Hooray.

(I'll get my coat)",chrislynchwords,865,1354,0,0,WorldPoetryDay
833,Fri Mar 26 04:26:26 +0000 2021,1,"RT @ReallySwara: I didn’t vote for the LG Anil Baijal !!!! 
😠😠😠😠😠 #GNCTDBill",Vaishal60239787,2,24,4882,0,GNCTDBill
995,Sun Mar 21 11:58:40 +0000 2021,1,"RT @BorisJohnson_MP: At Eton I used to play rugger
At Oxford I learned how to punt
Some say I'm a bit of a bugger
But most people think I'm…",ScotRamsay,405,518,65,0,WorldPoetryDay
804,Tue Mar 23 18:36:09 +0000 2021,1,"RT @PARInetwork: Find a more articulate 23-year-old. We'll wait. Until then, read his words. Download the 5,790 word essay by #BhagatSingh…",RoohiD,437,768,474,0,MartyrsDay
333,Thu Apr 01 17:25:05 +0000 2021,1,#Godzilla proved he is #KingoftheMonsters in #GodzillaVsKong. The Stone Cold Steve Austin of the #Monsterverse. 🍻,ThaHustleMan330,806,644,0,0,godzillavskong  .
1815,Sun Mar 21 12:08:22 +0000 2021,1,"RT @NetflixIndia: Tell us your favourite show/ movie and we'll write you a poem 💕

#WorldPoetryDay",Rajbir968,313,5,105,0,WorldPoetryDay
2215,Thu Apr 01 17:25:57 +0000 2021,1,"RT @VisitPensacola: Hey, @GodzillaVsKong next time you show Pensacola, make sure you're a *little more accurate. 

#GodzillaVsKong #experie…",J_Rogers_13,1061,4981,4,0,godzillavskong  .
523,Mon Mar 22 04:07:27 +0000 2021,1,"RT @SadhguruJV: Water is not a commodity – water is life. If we destroy our water sources, we destroy future generations right now. #Sadhgu…",kittimohan,105,291,1542,0,WorldWaterDay.
2048,Tue Mar 23 16:40:05 +0000 2021,1,"RT @realhimanshi: Tribute to the fearless heroes 🙏🏻🙏🏻
#BhagatSingh #MartyrsDay #Sukhdev #InquilabZindabad #23March #Sukhdev #ShaheediDiwas…",turraju,160,253,270,0,MartyrsDay
866,Sun Mar 21 16:36:58 +0000 2021,1,RT @OKIN_17: Zack Snyder's Justice League is the Justice League we all deserved... That's how you tell a Super Hero movie 👏🏾👏🏾👏🏾 #SnydersCu…,0x6d616e69,485,866,18,18,snyderscut.
2508,Sun Mar 21 15:45:08 +0000 2021,1,RT @wellbarreto10: I really can't understand how @warnerbros (@DCComics) can watch this masterpiece that is Zack Snyder's Justice League an…,LazyAndroids,404,742,1,1,snyderscut.
1502,Fri Mar 26 00:01:21 +0000 2021,1,"RT @derekobrienmp: “We 10 MPs flew from Bengal for this discussion, although there's an election coming up. 

@MamataOfficial Didi told us,…",gorakhupri,87,1166,856,0,GNCTDBill
1609,Fri Apr 02 04:04:56 +0000 2021,1,"RT @ApostleEric: @weronski Aka, tell us what needs to be fulfilled that is necessary for our faith today?
So far the comments you share are…",AdinaGunn,395,348,11,0,godzillavskong  .
1702,Sun Mar 21 15:03:48 +0000 2021,1,"RT @ThalaAditya: #MissionTHALA50

Just 20 mins more 🔥🤟

#Valimai  #AjithKumar",DharjunMayooran,37,158,61,0,MissionThala50.
457,Sat Mar 20 14:01:36 +0000 2021,1,"RT @Raniwara8677: #रीट_परीक्षा_आगे_करो
Reet exam July kro
@ashokgehlot51
@GovindDotasra
@UtkarshClasses
@Raniwara8677
@TheUpenYadav @1stInd…",OmSharm91781182,2,33,29,0,modirozgardo
79,Tue Mar 23 16:22:45 +0000 2021,1,"RT @PARInetwork: Find a more articulate 23-year-old. We'll wait. Until then, read his words. Download the 5,790 word essay by #BhagatSingh…",Sakshi_SK,3,35,459,0,MartyrsDay
264,Sun Mar 21 02:32:16 +0000 2021,1,"RT @SanjayEvane4: Stop privatization, provide jobs &amp; opportunities...
#increasemppscAEpost
#SpeakUpForEngineers
#mpsubengineerbhartido
#mod…",KajalBerojgar2,12,7,5,0,modirozgardo
1775,Sun Mar 21 11:58:27 +0000 2021,1,"@NetflixIndia #WorldPoetryDay 
Stranger things 😌😌😌😌
Upside-down 😁😁😁😁",Praveen03351901,19,34,0,0,WorldPoetryDay
68,Fri Mar 26 12:25:17 +0000 2021,1,"RT @ReallySwara: I didn’t vote for the LG Anil Baijal !!!! 
😠😠😠😠😠 #GNCTDBill",RagibAhmad14,863,1534,4882,0,GNCTDBill
526,Fri Mar 26 06:07:37 +0000 2021,1,"RT @dhruv_rathee: Rajya Sabha passes the #GNCTDBill 

One single person, who did not stand for any elections, is now technically the govern…",rspectdmrminhaj,20,55,6861,0,GNCTDBill
1955,Thu Mar 25 19:00:33 +0000 2021,1,"RT @AparBharat: While Hyper Hindus keep calling Mota Bhai was a weak man...

Mota Bhai has delivered another landmark bill #GNCTDBill

Keep…",DanekarV,17424,17548,284,0,GNCTDBill
940,Wed Mar 31 07:29:21 +0000 2021,1,"RT @bay_pnyht: This is the reason why I'm using only twitter and no other social media platform.
Check here for faster update @instagramdow…",emilyamea23,5,357,16,0,instagramdown  .
911,Fri Mar 26 04:07:54 +0000 2021,1,"RT @ReallySwara: I didn’t vote for the LG Anil Baijal !!!! 
😠😠😠😠😠 #GNCTDBill",YadvinderKamboj,54,410,4882,0,GNCTDBill
267,Wed Mar 31 14:28:53 +0000 2021,1,RT @Official_Heena: #instagramdown till then know God!.. https://t.co/m1zOnnYZGs,SankhlaUsha1968,26,34,201,201,instagramdown  .
96,Tue Mar 23 16:01:00 +0000 2021,1,RT @CartoonistSan: Old one. #MartyrsDay https://t.co/YB1GwabomT,DebarshiniC,76,100,0,285,MartyrsDay
2513,Wed Mar 31 06:12:40 +0000 2021,1,RT @Bruno92P: Instagram stamattina... #instagramdown https://t.co/wO5uLdvx3c,hamzamalikblogs,23,126,1,0,instagramdown  .
728,Sat Mar 20 07:10:55 +0000 2021,1,"RT @Veena25515470: Increase upper age limit of Bank &amp; SSC by 2 years: 32 for Gen, 35 for OBC, 37 for SC/ST. #Modi_Rojgar_Do #ReviseUpperAge…",DaizyMehta2,1,1,4,0,modirozgardo
1142,Fri Mar 26 02:48:38 +0000 2021,1,"RT @ImJitenderSati: People see Arvind Kejriwal as alternative to PM Modi, NCT bill brought to undermine Delhi govt: Dy CM @msisodia

👉Delhi…",RiyazKhanUP,0,11,8,0,GNCTDBill
2300,Sun Mar 21 15:39:47 +0000 2021,1,"Release the #SnydersCut of Brink, you cowards. https://t.co/U2GGq9YnIP",Wes_Rubin,91,594,0,0,snyderscut.
438,Tue Mar 23 17:04:00 +0000 2021,1,"RT @NPC_INDIA_GOV: We bow down to the martyrdom of our great National heros. 
#23March
#ShaheedDiwas 
#shaheedbhagatsingh
#Sukhdev
#rajguru…",AMARKUM56561354,5,2,21,0,MartyrsDay
427,Sat Mar 20 14:53:25 +0000 2021,1,"Modi pm india
#modi_jawab_do 
#modi_job_do 
#modi_rojgar_do 
#modi_jawab_do 
#modi_job_do 
#modi_rojgar_do",himansh18314158,10,0,0,0,modirozgardo
